Country,State,Route,Year
840,53,1,1979
840,53,1,1981
840,53,1,1982
840,53,1,1983
840,53,1,1984
840,53,1,1985
840,53,1,1986
840,53,1,1987
840,53,1,1988
840,53,1,1989
840,53,1,1990
840,53,1,1991
840,53,1,1992
840,53,1,1993
840,53,1,1994
840,53,1,1995
840,53,1,1996
840,53,1,1997
840,53,1,1998
840,53,1,1999
840,53,1,2000
840,53,1,2001
840,53,1,2002
840,53,1,2009
840,53,1,2010
840,53,1,2011
840,53,1,2012
840,53,1,2013
840,53,1,2015
840,53,2,1968
840,53,2,1969
840,53,2,1970
840,53,2,1971
840,53,2,1972
840,53,2,1973
840,53,2,1974
840,53,2,1975
840,53,2,1976
840,53,2,1977
840,53,2,1978
840,53,2,1979
840,53,2,1980
840,53,2,1981
840,53,2,1982
840,53,2,1983
840,53,2,1984
840,53,2,1985
840,53,2,1986
840,53,2,1987
840,53,2,1988
840,53,2,1989
840,53,2,1990
840,53,2,1991
840,53,2,1992
840,53,2,1993
840,53,2,1994
840,53,2,1995
840,53,2,1996
840,53,2,1997
840,53,2,1998
840,53,2,1999
840,53,2,2000
840,53,2,2001
840,53,2,2002
840,53,2,2003
840,53,2,2004
840,53,2,2005
840,53,2,2006
840,53,2,2007
840,53,2,2008
840,53,2,2009
840,53,2,2010
840,53,2,2011
840,53,2,2012
840,53,2,2013
840,53,2,2014
840,53,2,2015
840,53,2,2016
840,53,2,2017
840,53,2,2018
840,53,2,2019
840,53,3,1968
840,53,3,1969
840,53,3,1970
840,53,3,1971
840,53,3,1972
840,53,3,1973
840,53,3,1974
840,53,3,1976
840,53,3,1977
840,53,3,1979
840,53,3,1980
840,53,3,1981
840,53,3,1982
840,53,3,1985
840,53,3,1986
840,53,3,1987
840,53,3,1988
840,53,3,1989
840,53,3,1990
840,53,3,1991
840,53,3,1992
840,53,3,1993
840,53,3,1994
840,53,3,1995
840,53,3,1997
840,53,3,2000
840,53,3,2001
840,53,3,2002
840,53,3,2003
840,53,3,2004
840,53,3,2005
840,53,3,2006
840,53,3,2007
840,53,3,2008
840,53,13,1977
840,53,13,1978
840,53,13,1979
840,53,13,1980
840,53,13,1981
840,53,13,1982
840,53,13,1983
840,53,13,1984
840,53,13,1985
840,53,13,1986
840,53,13,1987
840,53,13,1988
840,53,13,1989
840,53,13,1990
840,53,13,1991
840,53,13,1992
840,53,13,1993
840,53,13,1994
840,53,13,1995
840,53,13,1996
840,53,13,1997
840,53,13,1998
840,53,13,1999
840,53,13,2000
840,53,13,2001
840,53,13,2002
840,53,13,2003
840,53,13,2004
840,53,13,2005
840,53,13,2006
840,53,13,2007
840,53,13,2008
840,53,13,2009
840,53,13,2010
840,53,13,2011
840,53,13,2012
840,53,13,2013
840,53,13,2014
840,53,13,2015
840,53,13,2016
840,53,13,2017
840,53,13,2018
840,53,13,2019
840,53,14,1972
840,53,14,1973
840,53,14,1974
840,53,14,1975
840,53,14,1976
840,53,14,1977
840,53,14,1978
840,53,14,1979
840,53,14,1980
840,53,14,1981
840,53,14,1982
840,53,14,1983
840,53,14,1984
840,53,14,1985
840,53,14,1986
840,53,14,1987
840,53,14,1988
840,53,14,1989
840,53,14,1990
840,53,14,1991
840,53,14,1992
840,53,14,1993
840,53,14,1994
840,53,14,1995
840,53,14,1996
840,53,14,1997
840,53,14,1998
840,53,14,1999
840,53,14,2000
840,53,14,2001
840,53,14,2002
840,53,14,2003
840,53,14,2004
840,53,14,2005
840,53,14,2006
840,53,14,2007
840,53,14,2008
840,53,14,2009
840,53,14,2010
840,53,14,2011
840,53,14,2013
840,53,14,2014
840,53,14,2015
840,53,14,2017
840,53,14,2019
840,53,15,1968
840,53,15,1969
840,53,15,1970
840,53,15,1971
840,53,15,1972
840,53,15,1973
840,53,15,1974
840,53,15,1975
840,53,15,1976
840,53,15,1977
840,53,15,1978
840,53,15,1979
840,53,15,1980
840,53,15,1981
840,53,15,1982
840,53,15,1984
840,53,15,1985
840,53,15,1986
840,53,15,1987
840,53,15,1988
840,53,15,1989
840,53,15,1990
840,53,15,1991
840,53,15,1993
840,53,15,1994
840,53,15,1995
840,53,15,1996
840,53,15,1997
840,53,15,1998
840,53,15,1999
840,53,15,2000
840,53,15,2001
840,53,15,2002
840,53,15,2003
840,53,15,2004
840,53,15,2005
840,53,15,2006
840,53,15,2007
840,53,15,2008
840,53,15,2009
840,53,15,2010
840,53,15,2011
840,53,15,2012
840,53,15,2013
840,53,15,2014
840,53,15,2015
840,53,15,2016
840,53,15,2017
840,53,15,2018
840,53,15,2019
840,53,16,1976
840,53,16,1977
840,53,16,1978
840,53,16,1979
840,53,16,1980
840,53,16,1981
840,53,16,1982
840,53,16,1983
840,53,16,1984
840,53,16,1985
840,53,16,1986
840,53,16,1987
840,53,16,1988
840,53,16,1989
840,53,16,1990
840,53,16,1991
840,53,16,1992
840,53,16,1993
840,53,16,1994
840,53,16,1996
840,53,16,1997
840,53,16,1999
840,53,16,2003
840,53,16,2008
840,53,16,2009
840,53,16,2010
840,53,16,2011
840,53,16,2012
840,53,16,2013
840,53,16,2014
840,53,16,2015
840,53,16,2017
840,53,16,2018
840,53,25,1968
840,53,25,1969
840,53,25,1970
840,53,25,1971
840,53,25,1972
840,53,25,1973
840,53,25,1974
840,53,25,1975
840,53,25,1976
840,53,25,1978
840,53,25,1979
840,53,25,1980
840,53,25,1981
840,53,25,1982
840,53,25,1983
840,53,25,1984
840,53,25,1985
840,53,25,1986
840,53,25,1987
840,53,25,1988
840,53,25,1989
840,53,25,1990
840,53,25,1991
840,53,25,1992
840,53,25,1993
840,53,25,1994
840,53,25,1995
840,53,25,1996
840,53,25,1997
840,53,25,1998
840,53,25,1999
840,53,25,2000
840,53,25,2001
840,53,25,2002
840,53,25,2003
840,53,25,2004
840,53,25,2005
840,53,25,2006
840,53,25,2007
840,53,25,2008
840,53,25,2009
840,53,25,2010
840,53,25,2011
840,53,25,2012
840,53,25,2013
840,53,25,2014
840,53,25,2015
840,53,25,2016
840,53,25,2017
840,53,25,2018
840,53,25,2019
840,53,26,1972
840,53,26,1973
840,53,26,1975
840,53,26,1976
840,53,26,1977
840,53,26,1978
840,53,26,1979
840,53,26,1980
840,53,26,1981
840,53,26,1982
840,53,26,1983
840,53,26,1984
840,53,26,1985
840,53,26,1987
840,53,26,1988
840,53,26,1989
840,53,26,1990
840,53,26,1991
840,53,26,1992
840,53,26,1993
840,53,26,1994
840,53,26,1995
840,53,26,1996
840,53,26,1997
840,53,26,1998
840,53,26,1999
840,53,26,2000
840,53,26,2001
840,53,26,2002
840,53,26,2003
840,53,26,2004
840,53,26,2005
840,53,26,2006
840,53,26,2007
840,53,26,2008
840,53,26,2009
840,53,26,2010
840,53,26,2011
840,53,26,2012
840,53,26,2013
840,53,26,2014
840,53,26,2015
840,53,26,2016
840,53,26,2017
840,53,26,2018
840,53,26,2019
840,53,27,1968
840,53,27,1969
840,53,27,1970
840,53,27,1971
840,53,27,1972
840,53,27,1973
840,53,27,1974
840,53,27,1975
840,53,27,1976
840,53,27,1977
840,53,27,1978
840,53,27,1979
840,53,27,1980
840,53,27,1981
840,53,27,1982
840,53,27,1987
840,53,27,1988
840,53,27,1989
840,53,27,1990
840,53,27,1991
840,53,27,1992
840,53,27,1993
840,53,27,1994
840,53,27,1996
840,53,27,1997
840,53,27,1998
840,53,27,1999
840,53,27,2000
840,53,27,2001
840,53,27,2002
840,53,27,2003
840,53,27,2004
840,53,27,2005
840,53,27,2006
840,53,27,2007
840,53,27,2008
840,53,27,2009
840,53,27,2010
840,53,27,2011
840,53,27,2012
840,53,27,2013
840,53,27,2014
840,53,27,2015
840,53,27,2016
840,53,27,2017
840,53,27,2018
840,53,27,2019
840,53,28,1969
840,53,28,1970
840,53,28,1971
840,53,28,1972
840,53,28,1973
840,53,28,1974
840,53,28,1975
840,53,28,1976
840,53,28,1977
840,53,28,1978
840,53,28,1979
840,53,28,1983
840,53,28,1986
840,53,28,1987
840,53,28,1988
840,53,28,1989
840,53,28,1990
840,53,28,1991
840,53,28,1992
840,53,28,1993
840,53,28,1994
840,53,28,1995
840,53,28,1996
840,53,28,1997
840,53,28,1998
840,53,28,1999
840,53,28,2000
840,53,28,2001
840,53,28,2002
840,53,28,2003
840,53,28,2004
840,53,28,2005
840,53,28,2006
840,53,28,2007
840,53,28,2008
840,53,28,2009
840,53,28,2010
840,53,28,2011
840,53,28,2012
840,53,28,2013
840,53,28,2014
840,53,28,2015
840,53,28,2016
840,53,28,2017
840,53,28,2018
840,53,28,2019
840,53,36,1977
840,53,36,1978
840,53,36,1986
840,53,36,1987
840,53,36,1988
840,53,36,1989
840,53,36,1990
840,53,36,1991
840,53,36,1992
840,53,36,1994
840,53,36,1995
840,53,36,1996
840,53,36,1997
840,53,36,1998
840,53,36,1999
840,53,36,2000
840,53,36,2001
840,53,36,2002
840,53,36,2003
840,53,36,2004
840,53,36,2005
840,53,36,2006
840,53,36,2007
840,53,36,2008
840,53,36,2009
840,53,36,2010
840,53,36,2011
840,53,36,2012
840,53,36,2013
840,53,36,2014
840,53,36,2015
840,53,36,2016
840,53,36,2017
840,53,36,2018
840,53,36,2019
840,53,37,1968
840,53,37,1969
840,53,37,1970
840,53,37,1971
840,53,37,1972
840,53,37,1973
840,53,37,1974
840,53,37,1975
840,53,37,1976
840,53,38,1972
840,53,38,1973
840,53,38,1974
840,53,38,1975
840,53,38,1976
840,53,38,1977
840,53,38,1978
840,53,38,1979
840,53,38,1980
840,53,38,1981
840,53,39,1968
840,53,39,1969
840,53,39,1970
840,53,39,1971
840,53,39,1972
840,53,39,1973
840,53,39,1974
840,53,39,1975
840,53,39,1976
840,53,39,1977
840,53,39,1978
840,53,39,1979
840,53,39,1980
840,53,39,1981
840,53,39,1982
840,53,39,1983
840,53,39,1984
840,53,39,1985
840,53,39,1986
840,53,39,1987
840,53,39,1988
840,53,39,1989
840,53,39,1990
840,53,39,1991
840,53,39,1992
840,53,39,1993
840,53,39,1994
840,53,39,1995
840,53,39,1996
840,53,39,1997
840,53,39,1998
840,53,39,1999
840,53,39,2000
840,53,39,2001
840,53,39,2002
840,53,39,2006
840,53,39,2007
840,53,39,2008
840,53,39,2009
840,53,39,2010
840,53,39,2011
840,53,39,2012
840,53,39,2013
840,53,39,2014
840,53,39,2015
840,53,39,2016
840,53,39,2017
840,53,39,2018
840,53,39,2019
840,53,41,1968
840,53,41,1969
840,53,41,1970
840,53,41,1971
840,53,41,1972
840,53,41,1973
840,53,41,1974
840,53,41,1975
840,53,41,1976
840,53,41,1977
840,53,41,1979
840,53,41,1980
840,53,41,1983
840,53,41,1984
840,53,41,1985
840,53,41,1986
840,53,41,1987
840,53,41,1988
840,53,41,1989
840,53,41,1990
840,53,41,1991
840,53,41,1992
840,53,41,1993
840,53,41,1994
840,53,41,1995
840,53,41,1996
840,53,41,1997
840,53,41,1998
840,53,41,2000
840,53,41,2001
840,53,41,2002
840,53,41,2003
840,53,41,2004
840,53,41,2005
840,53,41,2006
840,53,41,2007
840,53,41,2008
840,53,41,2009
840,53,41,2010
840,53,41,2011
840,53,41,2012
840,53,41,2013
840,53,41,2016
840,53,41,2017
840,53,41,2018
840,53,41,2019
840,53,46,1973
840,53,46,1974
840,53,46,1975
840,53,46,1978
840,53,46,1980
840,53,46,1981
840,53,46,1986
840,53,46,1988
840,53,46,1989
840,53,46,1990
840,53,46,1991
840,53,46,1992
840,53,46,1993
840,53,46,1994
840,53,46,1996
840,53,46,1997
840,53,46,1998
840,53,46,2003
840,53,46,2005
840,53,46,2009
840,53,46,2010
840,53,46,2011
840,53,46,2012
840,53,46,2013
840,53,46,2014
840,53,46,2015
840,53,46,2016
840,53,46,2017
840,53,46,2018
840,53,46,2019
840,53,47,1973
840,53,47,1974
840,53,47,1975
840,53,47,1976
840,53,47,1977
840,53,47,1978
840,53,47,1980
840,53,47,1981
840,53,47,1982
840,53,47,1988
840,53,47,1989
840,53,47,1990
840,53,47,1991
840,53,47,1992
840,53,47,1993
840,53,47,1994
840,53,47,1995
840,53,47,1996
840,53,47,1997
840,53,47,1998
840,53,47,2003
840,53,47,2004
840,53,47,2005
840,53,47,2006
840,53,47,2007
840,53,47,2008
840,53,47,2009
840,53,47,2010
840,53,47,2013
840,53,47,2014
840,53,47,2015
840,53,47,2016
840,53,47,2017
840,53,47,2018
840,53,47,2019
840,53,63,1993
840,53,63,1994
840,53,63,1995
840,53,63,1996
840,53,63,1997
840,53,63,1998
840,53,63,1999
840,53,63,2000
840,53,63,2003
840,53,63,2004
840,53,63,2005
840,53,63,2006
840,53,63,2007
840,53,63,2008
840,53,63,2009
840,53,63,2010
840,53,63,2011
840,53,63,2012
840,53,63,2013
840,53,63,2014
840,53,63,2015
840,53,63,2016
840,53,63,2017
840,53,63,2018
840,53,63,2019
840,53,64,1993
840,53,64,1994
840,53,64,1995
840,53,64,1996
840,53,64,1997
840,53,64,1998
840,53,64,1999
840,53,64,2000
840,53,64,2001
840,53,64,2002
840,53,64,2003
840,53,64,2004
840,53,64,2005
840,53,64,2006
840,53,64,2007
840,53,64,2008
840,53,64,2009
840,53,64,2010
840,53,64,2011
840,53,64,2012
840,53,64,2013
840,53,64,2014
840,53,64,2015
840,53,64,2016
840,53,64,2018
840,53,74,1995
840,53,74,1996
840,53,74,1997
840,53,74,1998
840,53,74,2000
840,53,74,2001
840,53,74,2002
840,53,74,2003
840,53,74,2004
840,53,74,2005
840,53,74,2006
840,53,74,2007
840,53,74,2008
840,53,74,2009
840,53,74,2010
840,53,74,2011
840,53,74,2012
840,53,74,2013
840,53,74,2014
840,53,74,2015
840,53,74,2016
840,53,74,2017
840,53,74,2018
840,53,74,2019
840,53,75,1995
840,53,75,1996
840,53,75,1997
840,53,75,1998
840,53,75,1999
840,53,75,2000
840,53,75,2001
840,53,75,2002
840,53,75,2003
840,53,75,2004
840,53,75,2005
840,53,75,2006
840,53,75,2007
840,53,75,2008
840,53,75,2010
840,53,75,2011
840,53,75,2012
840,53,75,2013
840,53,75,2014
840,53,75,2015
840,53,75,2016
840,53,75,2017
840,53,75,2018
840,53,75,2019
840,53,76,1992
840,53,76,1993
840,53,76,1994
840,53,76,1995
840,53,76,1996
840,53,76,1997
840,53,76,1998
840,53,86,1992
840,53,86,1993
840,53,86,1994
840,53,86,1995
840,53,86,1996
840,53,86,1997
840,53,86,1998
840,53,86,1999
840,53,86,2000
840,53,86,2001
840,53,86,2002
840,53,86,2003
840,53,86,2004
840,53,86,2005
840,53,86,2007
840,53,86,2008
840,53,86,2009
840,53,86,2010
840,53,86,2011
840,53,86,2012
840,53,86,2013
840,53,86,2014
840,53,86,2015
840,53,86,2016
840,53,86,2017
840,53,86,2018
840,53,86,2019
840,53,87,1993
840,53,87,1994
840,53,87,1995
840,53,87,1996
840,53,87,1997
840,53,87,1998
840,53,87,1999
840,53,87,2000
840,53,87,2001
840,53,87,2002
840,53,87,2003
840,53,87,2004
840,53,87,2005
840,53,87,2006
840,53,87,2007
840,53,87,2008
840,53,87,2009
840,53,87,2010
840,53,87,2011
840,53,87,2012
840,53,87,2013
840,53,87,2014
840,53,87,2015
840,53,87,2016
840,53,87,2017
840,53,87,2018
840,53,87,2019
840,53,97,1994
840,53,97,1995
840,53,97,1996
840,53,97,1998
840,53,97,1999
840,53,97,2000
840,53,97,2001
840,53,97,2002
840,53,97,2004
840,53,97,2005
840,53,97,2006
840,53,97,2007
840,53,97,2008
840,53,97,2009
840,53,97,2010
840,53,97,2011
840,53,97,2012
840,53,97,2013
840,53,97,2015
840,53,97,2016
840,53,97,2017
840,53,97,2018
840,53,97,2019
840,53,101,1995
840,53,101,1998
840,53,101,1999
840,53,101,2000
840,53,101,2001
840,53,101,2002
840,53,101,2003
840,53,101,2004
840,53,101,2005
840,53,101,2006
840,53,101,2008
840,53,101,2011
840,53,101,2014
840,53,101,2015
840,53,101,2016
840,53,101,2017
840,53,101,2018
840,53,101,2019
840,53,103,2009
840,53,103,2010
840,53,103,2011
840,53,103,2012
840,53,103,2013
840,53,103,2014
840,53,103,2015
840,53,103,2016
840,53,103,2017
840,53,103,2018
840,53,103,2019
840,53,137,1977
840,53,137,1978
840,53,137,1979
840,53,137,1980
840,53,137,1981
840,53,137,1982
840,53,137,1983
840,53,137,1984
840,53,137,1985
840,53,137,1986
840,53,137,1987
840,53,137,1988
840,53,137,1989
840,53,137,1990
840,53,137,1991
840,53,137,1992
840,53,137,1993
840,53,137,1994
840,53,137,1995
840,53,137,1996
840,53,137,1997
840,53,137,2000
840,53,137,2001
840,53,137,2002
840,53,137,2003
840,53,137,2005
840,53,137,2006
840,53,137,2007
840,53,137,2008
840,53,137,2009
840,53,137,2010
840,53,137,2011
840,53,137,2012
840,53,137,2013
840,53,137,2014
840,53,137,2015
840,53,137,2016
840,53,137,2017
840,53,137,2018
840,53,137,2019
840,53,138,1982
840,53,138,1983
840,53,138,1984
840,53,138,1985
840,53,138,1986
840,53,138,1987
840,53,138,1988
840,53,138,1989
840,53,138,1990
840,53,138,1991
840,53,138,1992
840,53,138,1993
840,53,138,1994
840,53,138,1995
840,53,138,1996
840,53,138,1997
840,53,138,1998
840,53,138,1999
840,53,138,2000
840,53,138,2001
840,53,138,2002
840,53,138,2003
840,53,138,2004
840,53,138,2005
840,53,138,2006
840,53,138,2007
840,53,138,2008
840,53,138,2009
840,53,138,2010
840,53,138,2011
840,53,138,2012
840,53,138,2013
840,53,138,2014
840,53,138,2015
840,53,138,2016
840,53,138,2018
840,53,176,1999
840,53,176,2000
840,53,176,2001
840,53,176,2002
840,53,176,2003
840,53,176,2004
840,53,176,2005
840,53,176,2006
840,53,176,2007
840,53,176,2008
840,53,176,2010
840,53,176,2011
840,53,176,2012
840,53,176,2013
840,53,176,2014
840,53,176,2015
840,53,176,2016
840,53,176,2017
840,53,176,2018
840,53,176,2019
840,53,301,2016
840,53,301,2017
840,53,301,2018
840,53,301,2019
840,53,302,2015
840,53,302,2016
840,53,302,2017
840,53,302,2018
840,53,302,2019
840,53,303,2015
840,53,303,2016
840,53,303,2017
840,53,303,2018
840,53,303,2019
840,53,312,2015
840,53,312,2016
840,53,312,2017
840,53,312,2018
840,53,312,2019
840,53,313,2015
840,53,313,2016
840,53,313,2017
840,53,313,2019
840,53,315,2016
840,53,315,2017
840,53,315,2018
840,53,315,2019
840,53,322,2015
840,53,322,2016
840,53,322,2017
840,53,322,2018
840,53,322,2019
840,53,323,2015
840,53,323,2016
840,53,323,2017
840,53,323,2018
840,53,323,2019
840,53,324,2015
840,53,324,2016
840,53,325,2015
840,53,325,2016
840,53,325,2017
840,53,325,2018
840,53,325,2019
840,53,332,2015
840,53,332,2016
840,53,332,2018
840,53,332,2019
840,53,333,2017
840,53,333,2018
840,53,333,2019
840,53,334,2018
840,53,334,2019
840,53,336,2015
840,53,341,2017
840,53,341,2018
840,53,341,2019
840,53,424,2018
840,53,424,2019
840,53,800,1990
840,53,800,1991
840,53,800,1992
840,53,800,1993
840,53,800,1994
840,53,800,1995
840,53,800,1996
840,53,800,1997
840,53,800,1998
840,53,800,1999
840,53,800,2000
840,53,800,2001
840,53,800,2002
840,53,800,2003
840,53,800,2004
840,53,800,2005
840,53,800,2006
840,53,800,2007
840,53,800,2008
840,53,800,2009
840,53,800,2010
840,53,800,2011
840,53,800,2012
840,53,800,2013
840,53,800,2014
840,53,800,2015
840,53,800,2016
840,53,800,2017
840,53,800,2018
840,53,800,2019
840,53,900,1980
840,53,900,1988
840,53,900,1989
840,53,900,1990
840,53,900,1991
840,53,900,1992
840,53,900,1993
840,53,900,1994
840,53,900,1995
840,53,900,1996
840,53,900,1997
840,53,900,1998
840,53,900,2000
840,53,900,2001
840,53,900,2002
840,53,900,2003
840,53,900,2004
840,53,900,2005
840,53,900,2010
840,53,900,2012
840,53,900,2013
840,53,900,2014
840,53,900,2015
840,53,900,2016
840,53,900,2017
840,53,900,2018
840,53,900,2019
840,53,901,1993
840,53,901,1994
840,53,901,1995
840,53,901,1996
840,53,901,1997
840,53,901,1998
840,53,901,1999
840,53,901,2000
840,53,901,2001
840,53,901,2004
840,53,901,2005
840,53,901,2006
840,53,901,2007
840,53,901,2008
840,53,901,2009
840,53,901,2010
840,53,901,2011
840,53,901,2012
840,53,901,2013
840,53,901,2014
840,53,901,2015
840,53,901,2016
840,53,901,2017
840,53,901,2018
840,53,901,2019
840,53,902,1993
840,53,902,1994
840,53,902,1995
840,53,902,1996
840,53,902,1997
840,53,902,1998
840,53,902,1999
840,53,902,2004
840,53,902,2005
840,53,902,2006
840,53,902,2007
840,53,902,2008
840,53,902,2009
840,53,902,2010
840,53,902,2011
840,53,902,2012
840,53,902,2013
840,53,902,2014
840,53,902,2015
840,53,902,2017
840,53,902,2018
840,53,902,2019
840,53,903,1994
840,53,903,1995
840,53,903,1996
840,53,903,1997
840,53,903,1998
840,53,903,2000
840,53,903,2003
840,53,903,2004
840,53,903,2005
840,53,903,2006
840,53,903,2008
840,53,903,2009
840,53,903,2010
840,53,903,2011
840,53,903,2012
840,53,903,2013
840,53,903,2014
840,53,903,2015
840,53,903,2016
840,53,903,2017
840,53,903,2018
840,53,903,2019
840,53,905,1995
840,53,905,1996
840,53,905,1998
840,53,905,1999
840,53,905,2000
840,53,905,2002
840,53,905,2003
840,53,905,2004
840,53,906,1994
840,53,906,1995
840,53,906,1996
840,53,906,1997
840,53,906,2000
840,53,906,2003
840,53,906,2004
840,53,906,2005
840,53,906,2006
840,53,906,2008
840,53,906,2009
840,53,906,2010
840,53,906,2012
840,53,906,2013
840,53,906,2014
840,53,906,2015
840,53,906,2016
840,53,906,2017
840,53,906,2018
840,53,907,1995
840,53,907,2000
840,53,907,2001
840,53,907,2002
840,53,907,2003
840,53,907,2004
840,53,907,2005
840,53,907,2006
840,53,907,2007
840,53,907,2009
840,53,907,2010
840,53,907,2011
840,53,907,2012
840,53,907,2013
840,53,907,2014
840,53,907,2015
840,53,907,2016
840,53,907,2017
840,53,907,2018
840,53,907,2019
840,53,955,2005
840,53,955,2006
840,53,955,2008
840,53,955,2009
840,53,955,2010
840,53,955,2011
840,53,956,2012
840,53,956,2013
840,53,956,2014
840,53,956,2015
840,53,956,2016
840,53,956,2017
840,53,956,2018
840,53,956,2019
