RootFolder,File,RelativePath,DateTime,DayTime,deployement_number,photo_camera_id,cougar,raven,magpie,coyote,golden_eagle,bald_eagle,wolf,fox,other_species,other_count,comment
24-008_299,IMG_0001.MP4,299 ,2024-10-07 03:53:00,true,8,299,0,0,0,0,0,0,0,0,,0,set up
24-008_299,IMG_0002.MP4,299 ,2024-10-07 03:53:00,true,8,299,0,0,0,0,0,0,0,0,,0,set up
24-008_299,IMG_0003.MP4,299 ,2024-10-07 03:53:00,true,8,299,0,0,0,0,0,0,0,0,,0,set up
24-008_299,IMG_0004.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,0,elk,1,
24-008_299,IMG_0005.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0006.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0007.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0008.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0009.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0010.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0011.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0012.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0013.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0014.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0015.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0016.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0017.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0018.MP4,299 ,2024-10-07 03:53:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0019.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0020.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0021.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,0,,0,
24-008_299,IMG_0022.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0023.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0024.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0025.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0026.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0027.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0028.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0029.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0030.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0031.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0032.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0033.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0034.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0035.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0036.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0037.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0038.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0039.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0040.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0041.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0042.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0043.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0044.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0045.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0046.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0047.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0048.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0049.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0050.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0051.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0052.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,raven call
24-008_299,IMG_0053.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,3,0,0,0,0,0,,0,
24-008_299,IMG_0054.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0055.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0056.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0057.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,3,0,0,0,0,0,,0,raven call
24-008_299,IMG_0058.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0059.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,3,0,0,0,0,0,,0,
24-008_299,IMG_0060.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0061.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,3,0,0,0,0,0,,0,
24-008_299,IMG_0062.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,3,0,0,0,0,0,,0,
24-008_299,IMG_0063.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,4,0,0,0,0,0,,0,
24-008_299,IMG_0064.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,3,0,0,0,0,0,,0,
24-008_299,IMG_0065.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,3,0,0,0,0,0,,0,
24-008_299,IMG_0066.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,3,0,0,0,0,0,,0,
24-008_299,IMG_0067.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,4,0,0,0,0,0,,0,
24-008_299,IMG_0068.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,4,0,0,0,0,0,,0,
24-008_299,IMG_0069.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0070.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0071.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,3,0,0,0,0,0,,0,
24-008_299,IMG_0072.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,4,0,0,0,0,0,,0,raven call
24-008_299,IMG_0073.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,3,0,0,0,0,0,,0,
24-008_299,IMG_0074.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,4,0,0,0,0,0,,0,
24-008_299,IMG_0075.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0076.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,5,0,0,0,0,0,,0,
24-008_299,IMG_0077.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,3,0,0,0,0,0,,0,
24-008_299,IMG_0078.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0079.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,4,0,0,0,0,0,,0,
24-008_299,IMG_0080.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0081.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,0,0,0,0,0,0,,0,
24-008_299,IMG_0082.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0083.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0084.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0085.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0086.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,4,0,0,0,0,0,,0,
24-008_299,IMG_0087.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0088.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,0,0,0,0,0,0,,0,
24-008_299,IMG_0089.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,raven call
24-008_299,IMG_0090.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,0,0,0,0,0,0,,0,
24-008_299,IMG_0091.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0092.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,0,0,0,0,0,0,,0,
24-008_299,IMG_0093.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,raven call
24-008_299,IMG_0094.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,raven call
24-008_299,IMG_0095.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0096.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,0,0,0,0,0,0,,0,
24-008_299,IMG_0097.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0098.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0099.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0100.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0101.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,3,0,0,0,0,0,,0,
24-008_299,IMG_0102.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,3,0,0,0,0,0,,0,
24-008_299,IMG_0103.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0104.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0105.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0106.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,0,0,0,0,0,0,,0,
24-008_299,IMG_0107.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0108.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0109.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0110.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0111.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0112.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0113.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0114.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0115.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0116.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,2,0,0,0,0,0,,0,
24-008_299,IMG_0117.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0118.MP4,299 ,2024-10-07 03:54:00,true,8,299,0,0,1,0,0,0,0,0,,0,
24-008_299,IMG_0119.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0120.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0121.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
24-008_299,IMG_0122.MP4,299 ,2024-10-07 03:54:00,false,8,299,0,0,0,0,0,0,0,1,,0,
